C1,C2,C3,C4,C5,L1,L2,L3,L4,L5,L6,WN1,WN2,DCPowerConsumption,S11,S22,PowerGain,DrainEfficiency,PAE,PSAT
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,9e-06,1.1e-05,0.0425,-7.02,-6.02,5.875,7.624,3.551,6.636
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,9e-06,1.2e-05,0.0446,-4.64,-5.41,5.34,7.673,2.264,6.479
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,9e-06,1.3e-05,0.0467,-3.5,-4.81,4.034,7.35,2.281,6.423
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,6e-06,9e-06,0.0318,-12.23,-7.27,8.546,12.14,6.056,7.694
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,6e-06,7e-06,0.0276,-1.84,-5.67,9.306,11.71,7.683,7.43
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,6e-06,8e-06,0.0297,-4.33,-6.61,9.206,12.26,7.226,7.683
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,6e-06,1e-05,0.034,-14.46,-7.36,7.591,10.34,5.167,7.169
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,6e-06,1.1e-05,0.0361,-6.76,-6.85,6.276,8.494,4.298,6.707
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,6e-06,1.2e-05,0.0382,-4.24,-6.08,5.838,8.531,2.73,6.609
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,6e-06,1.3e-05,0.0403,-3.09,-5.31,4.529,8.603,3.058,6.755
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,7e-06,9e-06,0.034,-13.6,-7.09,8.399,12.13,5.905,7.812
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,7e-06,6e-06,0.0276,-1.12,-4.94,9.715,13.24,7.739,7.84
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,7e-06,7e-06,0.0297,-2.14,-5.85,9.181,12.25,7.877,7.746
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,7e-06,8e-06,0.0318,-4.86,-6.61,9.051,12.55,7.204,7.901
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,7e-06,1e-05,0.0361,-14.49,-7.08,7.433,9.987,4.908,7.154
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,7e-06,1.1e-05,0.0382,-6.88,-6.57,6.154,8.197,4.058,6.686
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,7e-06,1.2e-05,0.0403,-4.38,-5.85,5.693,8.156,2.585,6.534
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,7e-06,1.3e-05,0.0425,-3.22,-5.15,4.387,8.174,2.797,6.654
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,8e-06,9e-06,0.0361,-15.04,-6.9,8.215,12.09,5.754,7.921
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,8e-06,6e-06,0.0297,-1.38,-5.25,9.453,13.86,8.092,8.145
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,8e-06,7e-06,0.0318,-2.51,-6.02,8.972,12.69,8.008,8.017
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,8e-06,8e-06,0.034,-5.46,-6.59,8.846,12.77,7.156,8.093
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,8e-06,1e-05,0.0382,-14.22,-6.8,7.247,9.704,4.649,7.162
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,8e-06,1.1e-05,0.0403,-6.96,-6.3,6.022,7.902,3.809,6.66
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,8e-06,1.2e-05,0.0425,-4.51,-5.63,5.527,7.87,2.429,6.489
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,3e-10,8e-06,1.3e-05,0.0446,-3.36,-4.98,4.222,7.756,2.538,6.542
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,9e-06,9e-06,0.0382,-16.69,-6.68,7.91,8.079,3.802,6.349
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,9e-06,6e-06,0.0318,-1.73,-6.72,9.018,11.94,6.971,7.599
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,9e-06,7e-06,0.034,-3.01,-7.3,8.988,10.1,5.784,7.162
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,9e-06,8e-06,0.0361,-6.25,-7.19,8.66,9.278,4.586,6.863
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,9e-06,1e-05,0.0403,-13.83,-5.98,6.912,6.006,3.219,5.261
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,9e-06,1.1e-05,0.0425,-7.09,-5.2,5.366,4.828,2.787,4.691
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,9e-06,1.2e-05,0.0446,-4.69,-4.47,4.816,4.422,1.914,4.566
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,9e-06,1.3e-05,0.0467,-3.54,-3.86,3.606,4.325,1.048,4.351
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,6e-06,9e-06,0.0318,-12.25,-7.54,8.238,8.452,4.214,6.165
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,6e-06,7e-06,0.0276,-1.88,-7.67,9.721,9.378,5.929,6.464
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,6e-06,8e-06,0.0297,-4.42,-8.1,9.191,9.06,4.906,6.39
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,6e-06,1e-05,0.034,-14.36,-6.62,7.252,6.936,3.597,5.486
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,6e-06,1.1e-05,0.0361,-6.82,-5.59,5.67,5.54,3.12,4.897
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,6e-06,1.2e-05,0.0382,-4.29,-4.66,5.026,5.396,2.116,4.713
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,6e-06,1.3e-05,0.0403,-3.12,-3.92,3.794,5.475,1.463,4.854
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,7e-06,9e-06,0.034,-13.67,-7.26,8.153,8.297,4.063,6.214
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,7e-06,6e-06,0.0276,-1.14,-6.42,9.712,11.45,6.752,7.157
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,7e-06,7e-06,0.0297,-2.19,-7.57,9.546,9.607,5.891,6.699
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,7e-06,8e-06,0.0318,-4.95,-7.8,9.048,9.113,4.792,6.542
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,7e-06,1e-05,0.0361,-14.47,-6.42,7.161,6.554,3.461,5.38
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,7e-06,1.1e-05,0.0382,-6.94,-5.47,5.587,5.285,3.011,4.824
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,7e-06,1.2e-05,0.0403,-4.43,-4.6,4.967,5.014,2.056,4.669
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,7e-06,1.3e-05,0.0425,-3.26,-3.91,3.749,5.097,1.325,4.659
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,8e-06,9e-06,0.0361,-15.19,-6.97,8.046,8.168,3.926,6.273
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,8e-06,6e-06,0.0297,-1.4,-6.58,9.378,11.74,6.877,7.391
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,8e-06,7e-06,0.0318,-2.56,-7.45,9.301,9.84,5.842,6.928
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,8e-06,8e-06,0.034,-5.56,-7.5,8.873,9.181,4.686,6.698
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,8e-06,1e-05,0.0382,-14.28,-6.2,7.049,6.237,3.336,5.298
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,8e-06,1.1e-05,0.0403,-7.03,-5.34,5.486,5.044,2.9,4.752
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,8e-06,1.2e-05,0.0425,-4.56,-4.54,4.898,4.678,1.989,4.619
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,1.5e-10,2e-10,4e-10,8e-06,1.3e-05,0.0446,-3.39,-3.89,3.687,4.713,1.187,4.431
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,2.5e-10,1e-10,3e-10,9e-06,9e-06,0.0382,-18.9,-16.2,7.795,6.02,2.168,4.851
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,2.5e-10,1e-10,3e-10,9e-06,6e-06,0.0318,-1.62,-2.93,6.989,5.297,2.61,4.052
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,2.5e-10,1e-10,3e-10,9e-06,7e-06,0.034,-2.93,-5.26,8.231,5.814,2.898,4.544
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,2.5e-10,1e-10,3e-10,9e-06,8e-06,0.0361,-6.5,-10.01,8.119,6.098,2.654,4.796
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,2.5e-10,1e-10,3e-10,9e-06,1e-05,0.0403,-12.76,-11.59,6.458,5.352,1.777,4.57
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,2.5e-10,1e-10,3e-10,9e-06,1.1e-05,0.0425,-6.89,-7.69,5.781,4.724,1.522,4.244
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,2.5e-10,1e-10,3e-10,9e-06,1.2e-05,0.0446,-4.66,-5.37,4.0,4.698,1.141,4.273
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,2.5e-10,1e-10,3e-10,9e-06,1.3e-05,0.0467,-3.55,-3.92,2.894,4.26,0.726,4.026
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,2.5e-10,1e-10,3e-10,6e-06,9e-06,0.0318,-13.72,-15.57,8.103,6.175,2.442,4.617
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,2.5e-10,1e-10,3e-10,6e-06,7e-06,0.0276,-1.8,-4.22,8.74,5.409,3.029,3.941
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,2.5e-10,1e-10,3e-10,6e-06,8e-06,0.0297,-4.54,-8.19,8.283,5.962,2.941,4.394
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,2.5e-10,1e-10,3e-10,6e-06,1e-05,0.034,-13.1,-13.11,6.773,5.694,2.007,4.47
2e-12,2e-13,1e-13,3e-13,1e-13,1e-10,3.5e-10,5e-10,2.5e-10,1e-10,3e-10,6e-06,1.1e-05,0.0361,-6.54,-8.53,6.049,4.958,1.744,4.133
