C1,C2,Cb,Ld,Ls,WN1,Bandwidth,DCPowerConsumption,S11,NoiseFigure,PowerGain
2e-13,5e-14,5.5e-13,8e-11,1.5e-09,2.3e-05,23600000000.0,0.0327,-9.71,3.896,1.662
2e-13,5e-14,5.5e-13,8e-11,5e-10,1.8e-05,26300000000.0,0.0258,-10.87,3.469,0.149
2e-13,5e-14,5.5e-13,8e-11,5e-10,1.9e-05,25700000000.0,0.0272,-10.42,3.505,0.481
2e-13,5e-14,5.5e-13,8e-11,5e-10,2e-05,25100000000.0,0.0286,-10.04,3.546,0.799
2e-13,5e-14,5.5e-13,8e-11,5e-10,2.1e-05,24600000000.0,0.03,-9.72,3.592,1.101
2e-13,5e-14,5.5e-13,8e-11,5e-10,2.2e-05,24000000000.0,0.0313,-9.46,3.641,1.389
2e-13,5e-14,5.5e-13,8e-11,5e-10,2.3e-05,23600000000.0,0.0327,-9.24,3.695,1.662
2e-13,5e-14,5.5e-13,8e-11,2.5e-09,1.8e-05,26300000000.0,0.0258,-11.15,3.706,0.149
2e-13,5e-14,5.5e-13,8e-11,2.5e-09,1.9e-05,25700000000.0,0.0272,-10.77,3.744,0.481
2e-13,5e-14,5.5e-13,8e-11,2.5e-09,2e-05,25100000000.0,0.0286,-10.44,3.787,0.799
2e-13,5e-14,5.5e-13,8e-11,2.5e-09,2.1e-05,24600000000.0,0.03,-10.18,3.835,1.101
2e-13,5e-14,5.5e-13,8e-11,2.5e-09,2.2e-05,24000000000.0,0.0313,-9.96,3.887,1.389
2e-13,5e-14,5.5e-13,8e-11,2.5e-09,2.3e-05,23600000000.0,0.0327,-9.8,3.941,1.662
2e-13,5e-14,5.5e-13,8e-11,3.5e-09,1.8e-05,26300000000.0,0.0258,-11.16,3.726,0.149
2e-13,5e-14,5.5e-13,8e-11,3.5e-09,1.9e-05,25700000000.0,0.0272,-10.78,3.764,0.481
2e-13,5e-14,5.5e-13,8e-11,3.5e-09,2e-05,25100000000.0,0.0286,-10.46,3.807,0.799
2e-13,5e-14,5.5e-13,8e-11,3.5e-09,2.1e-05,24600000000.0,0.03,-10.2,3.855,1.101
2e-13,5e-14,5.5e-13,8e-11,3.5e-09,2.2e-05,24000000000.0,0.0313,-9.99,3.907,1.389
2e-13,5e-14,5.5e-13,8e-11,3.5e-09,2.3e-05,23600000000.0,0.0327,-9.83,3.961,1.662
2e-13,5e-14,5.5e-13,8e-11,4.5e-09,1.8e-05,26300000000.0,0.0258,-11.17,3.737,0.149
2e-13,5e-14,5.5e-13,8e-11,4.5e-09,1.9e-05,25700000000.0,0.0272,-10.79,3.775,0.481
2e-13,5e-14,5.5e-13,8e-11,4.5e-09,2e-05,25100000000.0,0.0286,-10.48,3.818,0.799
2e-13,5e-14,5.5e-13,8e-11,4.5e-09,2.1e-05,24600000000.0,0.03,-10.22,3.866,1.101
2e-13,5e-14,5.5e-13,8e-11,4.5e-09,2.2e-05,24000000000.0,0.0313,-10.01,3.918,1.389
2e-13,5e-14,5.5e-13,8e-11,4.5e-09,2.3e-05,23600000000.0,0.0327,-9.85,3.973,1.662
2e-13,5e-14,5.5e-13,8e-11,5.5e-09,1.8e-05,26300000000.0,0.0258,-11.17,3.744,0.149
2e-13,5e-14,5.5e-13,8e-11,5.5e-09,1.9e-05,25700000000.0,0.0272,-10.79,3.782,0.481
2e-13,5e-14,5.5e-13,8e-11,5.5e-09,2e-05,25100000000.0,0.0286,-10.48,3.825,0.799
2e-13,5e-14,5.5e-13,8e-11,5.5e-09,2.1e-05,24600000000.0,0.03,-10.23,3.873,1.101
2e-13,5e-14,5.5e-13,8e-11,5.5e-09,2.2e-05,24000000000.0,0.0313,-10.02,3.925,1.389
2e-13,5e-14,5.5e-13,8e-11,5.5e-09,2.3e-05,23600000000.0,0.0327,-9.86,3.98,1.662
2e-13,5e-14,5.5e-13,2.8e-10,1.5e-09,1.8e-05,24600000000.0,0.0258,-12.57,3.661,4.291
2e-13,5e-14,5.5e-13,2.8e-10,1.5e-09,1.2e-05,30500000000.0,0.0175,-15.75,3.62,4.249
2e-13,5e-14,5.5e-13,2.8e-10,1.5e-09,1.3e-05,29200000000.0,0.0189,-15.21,3.596,4.351
2e-13,5e-14,5.5e-13,2.8e-10,1.5e-09,1.4e-05,28200000000.0,0.0202,-14.62,3.587,4.408
2e-13,5e-14,5.5e-13,2.8e-10,1.5e-09,1.5e-05,27200000000.0,0.0216,-14.04,3.591,4.426
2e-13,5e-14,5.5e-13,2.8e-10,1.5e-09,1.6e-05,26200000000.0,0.023,-13.51,3.606,4.41
2e-13,5e-14,5.5e-13,2.8e-10,1.5e-09,1.7e-05,25400000000.0,0.0244,-13.01,3.63,4.364
2e-13,5e-14,5.5e-13,2.8e-10,1.5e-09,1.9e-05,23800000000.0,0.0272,-12.16,3.699,4.196
2e-13,5e-14,5.5e-13,2.8e-10,1.5e-09,2e-05,23100000000.0,0.0286,-11.8,3.742,4.081
2e-13,5e-14,5.5e-13,2.8e-10,1.5e-09,2.1e-05,22500000000.0,0.03,-11.47,3.79,3.949
2e-13,5e-14,5.5e-13,2.8e-10,1.5e-09,2.2e-05,21900000000.0,0.0313,-11.17,3.841,3.803
2e-13,5e-14,5.5e-13,2.8e-10,1.5e-09,2.3e-05,21300000000.0,0.0327,-10.9,3.896,3.645
2e-13,5e-14,5.5e-13,2.8e-10,5e-10,1.8e-05,24600000000.0,0.0258,-14.1,3.469,4.291
2e-13,5e-14,5.5e-13,2.8e-10,5e-10,1.2e-05,30500000000.0,0.0175,-19.7,3.444,4.249
2e-13,5e-14,5.5e-13,2.8e-10,5e-10,1.3e-05,29200000000.0,0.0189,-18.5,3.416,4.351
2e-13,5e-14,5.5e-13,2.8e-10,5e-10,1.4e-05,28200000000.0,0.0202,-17.35,3.404,4.408
2e-13,5e-14,5.5e-13,2.8e-10,5e-10,1.5e-05,27200000000.0,0.0216,-16.35,3.406,4.426
2e-13,5e-14,5.5e-13,2.8e-10,5e-10,1.6e-05,26200000000.0,0.023,-15.49,3.418,4.41
2e-13,5e-14,5.5e-13,2.8e-10,5e-10,1.7e-05,25400000000.0,0.0244,-14.74,3.44,4.364
2e-13,5e-14,5.5e-13,2.8e-10,5e-10,1.9e-05,23800000000.0,0.0272,-13.55,3.505,4.196
2e-13,5e-14,5.5e-13,2.8e-10,5e-10,2e-05,23100000000.0,0.0286,-13.06,3.546,4.081
2e-13,5e-14,5.5e-13,2.8e-10,5e-10,2.1e-05,22500000000.0,0.03,-12.63,3.592,3.949
2e-13,5e-14,5.5e-13,2.8e-10,5e-10,2.2e-05,21900000000.0,0.0313,-12.25,3.641,3.803
2e-13,5e-14,5.5e-13,2.8e-10,5e-10,2.3e-05,21300000000.0,0.0327,-11.91,3.695,3.645
2e-13,5e-14,5.5e-13,2.8e-10,2.5e-09,1.8e-05,24600000000.0,0.0258,-12.27,3.706,4.291
2e-13,5e-14,5.5e-13,2.8e-10,2.5e-09,1.2e-05,30500000000.0,0.0175,-15.14,3.662,4.249
2e-13,5e-14,5.5e-13,2.8e-10,2.5e-09,1.3e-05,29200000000.0,0.0189,-14.67,3.639,4.351
2e-13,5e-14,5.5e-13,2.8e-10,2.5e-09,1.4e-05,28200000000.0,0.0202,-14.15,3.63,4.408
2e-13,5e-14,5.5e-13,2.8e-10,2.5e-09,1.5e-05,27200000000.0,0.0216,-13.63,3.635,4.426
2e-13,5e-14,5.5e-13,2.8e-10,2.5e-09,1.6e-05,26200000000.0,0.023,-13.14,3.65,4.41
2e-13,5e-14,5.5e-13,2.8e-10,2.5e-09,1.7e-05,25400000000.0,0.0244,-12.68,3.674,4.364
2e-13,5e-14,5.5e-13,2.8e-10,2.5e-09,1.9e-05,23800000000.0,0.0272,-11.89,3.744,4.196
2e-13,5e-14,5.5e-13,2.8e-10,2.5e-09,2e-05,23100000000.0,0.0286,-11.55,3.787,4.081
2e-13,5e-14,5.5e-13,2.8e-10,2.5e-09,2.1e-05,22500000000.0,0.03,-11.24,3.835,3.949
2e-13,5e-14,5.5e-13,2.8e-10,2.5e-09,2.2e-05,21900000000.0,0.0313,-10.95,3.887,3.803
2e-13,5e-14,5.5e-13,2.8e-10,2.5e-09,2.3e-05,21300000000.0,0.0327,-10.69,3.941,3.645
2e-13,5e-14,5.5e-13,2.8e-10,3.5e-09,1.8e-05,24600000000.0,0.0258,-12.14,3.726,4.291
2e-13,5e-14,5.5e-13,2.8e-10,3.5e-09,1.2e-05,30500000000.0,0.0175,-14.9,3.681,4.249
2e-13,5e-14,5.5e-13,2.8e-10,3.5e-09,1.3e-05,29200000000.0,0.0189,-14.45,3.658,4.351
2e-13,5e-14,5.5e-13,2.8e-10,3.5e-09,1.4e-05,28200000000.0,0.0202,-13.95,3.65,4.408
2e-13,5e-14,5.5e-13,2.8e-10,3.5e-09,1.5e-05,27200000000.0,0.0216,-13.46,3.654,4.426
2e-13,5e-14,5.5e-13,2.8e-10,3.5e-09,1.6e-05,26200000000.0,0.023,-12.98,3.67,4.41
2e-13,5e-14,5.5e-13,2.8e-10,3.5e-09,1.7e-05,25400000000.0,0.0244,-12.55,3.694,4.364
2e-13,5e-14,5.5e-13,2.8e-10,3.5e-09,1.9e-05,23800000000.0,0.0272,-11.78,3.764,4.196
2e-13,5e-14,5.5e-13,2.8e-10,3.5e-09,2e-05,23100000000.0,0.0286,-11.44,3.807,4.081
2e-13,5e-14,5.5e-13,2.8e-10,3.5e-09,2.1e-05,22500000000.0,0.03,-11.14,3.855,3.949
2e-13,5e-14,5.5e-13,2.8e-10,3.5e-09,2.2e-05,21900000000.0,0.0313,-10.86,3.907,3.803
2e-13,5e-14,5.5e-13,2.8e-10,3.5e-09,2.3e-05,21300000000.0,0.0327,-10.61,3.961,3.645
2e-13,5e-14,5.5e-13,2.8e-10,4.5e-09,1.8e-05,24600000000.0,0.0258,-12.08,3.737,4.291
2e-13,5e-14,5.5e-13,2.8e-10,4.5e-09,1.2e-05,30500000000.0,0.0175,-14.76,3.692,4.249
2e-13,5e-14,5.5e-13,2.8e-10,4.5e-09,1.3e-05,29200000000.0,0.0189,-14.32,3.668,4.351
2e-13,5e-14,5.5e-13,2.8e-10,4.5e-09,1.4e-05,28200000000.0,0.0202,-13.84,3.66,4.408
2e-13,5e-14,5.5e-13,2.8e-10,4.5e-09,1.5e-05,27200000000.0,0.0216,-13.36,3.665,4.426
2e-13,5e-14,5.5e-13,2.8e-10,4.5e-09,1.6e-05,26200000000.0,0.023,-12.9,3.681,4.41
2e-13,5e-14,5.5e-13,2.8e-10,4.5e-09,1.7e-05,25400000000.0,0.0244,-12.47,3.705,4.364
2e-13,5e-14,5.5e-13,2.8e-10,4.5e-09,1.9e-05,23800000000.0,0.0272,-11.71,3.775,4.196
2e-13,5e-14,5.5e-13,2.8e-10,4.5e-09,2e-05,23100000000.0,0.0286,-11.39,3.818,4.081
2e-13,5e-14,5.5e-13,2.8e-10,4.5e-09,2.1e-05,22500000000.0,0.03,-11.09,3.866,3.949
2e-13,5e-14,5.5e-13,2.8e-10,4.5e-09,2.2e-05,21900000000.0,0.0313,-10.81,3.918,3.803
2e-13,5e-14,5.5e-13,2.8e-10,4.5e-09,2.3e-05,21300000000.0,0.0327,-10.56,3.973,3.645
2e-13,5e-14,5.5e-13,2.8e-10,5.5e-09,1.8e-05,24600000000.0,0.0258,-12.03,3.744,4.291
2e-13,5e-14,5.5e-13,2.8e-10,5.5e-09,1.2e-05,30500000000.0,0.0175,-14.68,3.698,4.249
2e-13,5e-14,5.5e-13,2.8e-10,5.5e-09,1.3e-05,29200000000.0,0.0189,-14.25,3.675,4.351
2e-13,5e-14,5.5e-13,2.8e-10,5.5e-09,1.4e-05,28200000000.0,0.0202,-13.78,3.667,4.408
2e-13,5e-14,5.5e-13,2.8e-10,5.5e-09,1.5e-05,27200000000.0,0.0216,-13.3,3.672,4.426
2e-13,5e-14,5.5e-13,2.8e-10,5.5e-09,1.6e-05,26200000000.0,0.023,-12.85,3.688,4.41
2e-13,5e-14,5.5e-13,2.8e-10,5.5e-09,1.7e-05,25400000000.0,0.0244,-12.42,3.712,4.364
2e-13,5e-14,5.5e-13,2.8e-10,5.5e-09,1.9e-05,23800000000.0,0.0272,-11.67,3.782,4.196
2e-13,5e-14,5.5e-13,2.8e-10,5.5e-09,2e-05,23100000000.0,0.0286,-11.35,3.825,4.081
2e-13,5e-14,5.5e-13,2.8e-10,5.5e-09,2.1e-05,22500000000.0,0.03,-11.05,3.873,3.949
2e-13,5e-14,5.5e-13,2.8e-10,5.5e-09,2.2e-05,21900000000.0,0.0313,-10.78,3.925,3.803
2e-13,5e-14,5.5e-13,2.8e-10,5.5e-09,2.3e-05,21300000000.0,0.0327,-10.53,3.98,3.645
2e-13,5e-14,5.5e-13,3.8e-10,1.5e-09,1.8e-05,24400000000.0,0.0258,-11.48,3.661,3.622
2e-13,5e-14,5.5e-13,3.8e-10,1.5e-09,1.2e-05,30400000000.0,0.0175,-14.45,3.62,3.823
2e-13,5e-14,5.5e-13,3.8e-10,1.5e-09,1.3e-05,29100000000.0,0.0189,-13.91,3.596,3.866
2e-13,5e-14,5.5e-13,3.8e-10,1.5e-09,1.4e-05,28000000000.0,0.0202,-13.35,3.587,3.872
2e-13,5e-14,5.5e-13,3.8e-10,1.5e-09,1.5e-05,27100000000.0,0.0216,-12.82,3.591,3.847
2e-13,5e-14,5.5e-13,3.8e-10,1.5e-09,1.6e-05,26100000000.0,0.023,-12.32,3.606,3.794
2e-13,5e-14,5.5e-13,3.8e-10,1.5e-09,1.7e-05,25200000000.0,0.0244,-11.88,3.63,3.718
2e-13,5e-14,5.5e-13,3.8e-10,1.5e-09,1.9e-05,23800000000.0,0.0272,-11.12,3.699,3.508
2e-13,5e-14,5.5e-13,3.8e-10,1.5e-09,2e-05,23000000000.0,0.0286,-10.79,3.742,3.38
2e-13,5e-14,5.5e-13,3.8e-10,1.5e-09,2.1e-05,22200000000.0,0.03,-10.5,3.79,3.239
2e-13,5e-14,5.5e-13,3.8e-10,1.5e-09,2.2e-05,21600000000.0,0.0313,-10.24,3.841,3.087
2e-13,5e-14,5.5e-13,3.8e-10,1.5e-09,2.3e-05,21100000000.0,0.0327,-10.01,3.896,2.926
2e-13,5e-14,5.5e-13,3.8e-10,5e-10,1.8e-05,24400000000.0,0.0258,-12.78,3.469,3.622
2e-13,5e-14,5.5e-13,3.8e-10,5e-10,1.2e-05,30400000000.0,0.0175,-17.63,3.444,3.823
2e-13,5e-14,5.5e-13,3.8e-10,5e-10,1.3e-05,29100000000.0,0.0189,-16.58,3.416,3.866
2e-13,5e-14,5.5e-13,3.8e-10,5e-10,1.4e-05,28000000000.0,0.0202,-15.6,3.404,3.872
2e-13,5e-14,5.5e-13,3.8e-10,5e-10,1.5e-05,27100000000.0,0.0216,-14.74,3.406,3.847
2e-13,5e-14,5.5e-13,3.8e-10,5e-10,1.6e-05,26100000000.0,0.023,-13.99,3.418,3.794
2e-13,5e-14,5.5e-13,3.8e-10,5e-10,1.7e-05,25200000000.0,0.0244,-13.34,3.44,3.718
2e-13,5e-14,5.5e-13,3.8e-10,5e-10,1.9e-05,23800000000.0,0.0272,-12.29,3.505,3.508
2e-13,5e-14,5.5e-13,3.8e-10,5e-10,2e-05,23000000000.0,0.0286,-11.87,3.546,3.38
2e-13,5e-14,5.5e-13,3.8e-10,5e-10,2.1e-05,22200000000.0,0.03,-11.49,3.592,3.239
2e-13,5e-14,5.5e-13,3.8e-10,5e-10,2.2e-05,21600000000.0,0.0313,-11.16,3.641,3.087
2e-13,5e-14,5.5e-13,3.8e-10,5e-10,2.3e-05,21100000000.0,0.0327,-10.87,3.695,2.926
2e-13,5e-14,5.5e-13,3.8e-10,2.5e-09,1.8e-05,24400000000.0,0.0258,-11.23,3.706,3.622
2e-13,5e-14,5.5e-13,3.8e-10,2.5e-09,1.2e-05,30400000000.0,0.0175,-13.94,3.662,3.823
2e-13,5e-14,5.5e-13,3.8e-10,2.5e-09,1.3e-05,29100000000.0,0.0189,-13.45,3.639,3.866
2e-13,5e-14,5.5e-13,3.8e-10,2.5e-09,1.4e-05,28000000000.0,0.0202,-12.95,3.63,3.872
2e-13,5e-14,5.5e-13,3.8e-10,2.5e-09,1.5e-05,27100000000.0,0.0216,-12.47,3.635,3.847
2e-13,5e-14,5.5e-13,3.8e-10,2.5e-09,1.6e-05,26100000000.0,0.023,-12.02,3.65,3.794
2e-13,5e-14,5.5e-13,3.8e-10,2.5e-09,1.7e-05,25200000000.0,0.0244,-11.6,3.674,3.718
2e-13,5e-14,5.5e-13,3.8e-10,2.5e-09,1.9e-05,23800000000.0,0.0272,-10.89,3.744,3.508
2e-13,5e-14,5.5e-13,3.8e-10,2.5e-09,2e-05,23000000000.0,0.0286,-10.58,3.787,3.38
2e-13,5e-14,5.5e-13,3.8e-10,2.5e-09,2.1e-05,22200000000.0,0.03,-10.31,3.835,3.239
2e-13,5e-14,5.5e-13,3.8e-10,2.5e-09,2.2e-05,21600000000.0,0.0313,-10.06,3.887,3.087
2e-13,5e-14,5.5e-13,3.8e-10,2.5e-09,2.3e-05,21100000000.0,0.0327,-9.84,3.941,2.926
2e-13,5e-14,5.5e-13,3.8e-10,3.5e-09,1.8e-05,24400000000.0,0.0258,-11.12,3.726,3.622
2e-13,5e-14,5.5e-13,3.8e-10,3.5e-09,1.2e-05,30400000000.0,0.0175,-13.73,3.681,3.823
2e-13,5e-14,5.5e-13,3.8e-10,3.5e-09,1.3e-05,29100000000.0,0.0189,-13.27,3.658,3.866
2e-13,5e-14,5.5e-13,3.8e-10,3.5e-09,1.4e-05,28000000000.0,0.0202,-12.79,3.65,3.872
2e-13,5e-14,5.5e-13,3.8e-10,3.5e-09,1.5e-05,27100000000.0,0.0216,-12.32,3.654,3.847
2e-13,5e-14,5.5e-13,3.8e-10,3.5e-09,1.6e-05,26100000000.0,0.023,-11.89,3.67,3.794
2e-13,5e-14,5.5e-13,3.8e-10,3.5e-09,1.7e-05,25200000000.0,0.0244,-11.48,3.694,3.718
2e-13,5e-14,5.5e-13,3.8e-10,3.5e-09,1.9e-05,23800000000.0,0.0272,-10.79,3.764,3.508
