L1p,L1s,L3p,L3s,Lm,WN1,WN2,DCPowerConsumption,S11,S22,PowerGain,DrainEfficiency,PAE,PSAT
3e-10,5e-10,1e-09,6e-10,2.5e-10,6e-06,1.5e-05,0.0278,-1.788,-2.39,17.3,0.634,0.493,-1.676
3e-10,5e-10,1e-09,6e-10,2.5e-10,6e-06,2e-05,0.0306,-1.766,-6.59,14.51,1.127,0.721,0.889
3e-10,5e-10,1e-09,6e-10,2.5e-10,6e-06,3e-05,0.0361,-1.751,-14.06,6.56,0.35,0.097,-3.965
3e-10,5e-10,1e-09,6e-10,2.5e-10,6e-06,3.5e-05,0.0389,-1.749,-8.6,2.72,0.148,0.012,-7.599
3e-10,5e-10,1e-09,6e-10,2.5e-10,1.1e-05,2.5e-05,0.0342,-3.549,-14.93,16.49,1.663,1.067,2.592
3e-10,5e-10,1e-09,6e-10,2.5e-10,1.1e-05,1.5e-05,0.0286,-3.986,-2.71,22.96,0.787,0.696,-0.753
3e-10,5e-10,1e-09,6e-10,2.5e-10,1.1e-05,2e-05,0.0314,-3.626,-5.75,19.68,1.536,1.193,2.194
3e-10,5e-10,1e-09,6e-10,2.5e-10,1.1e-05,3e-05,0.0369,-3.528,-14.8,12.75,1.081,0.528,0.836
3e-10,5e-10,1e-09,6e-10,2.5e-10,1.1e-05,3.5e-05,0.0397,-3.518,-8.74,9.08,0.542,0.17,-2.043
3e-10,5e-10,1e-09,4e-10,5e-11,6e-06,2.5e-05,0.0298,-1.846,-10.39,10.74,1.003,0.446,0.694
3e-10,5e-10,1e-09,4e-10,5e-11,6e-06,1.5e-05,0.0242,-1.858,-2.22,15.79,0.9,0.633,0.042
3e-10,5e-10,1e-09,4e-10,5e-11,6e-06,2e-05,0.027,-1.856,-7.82,14.88,1.505,0.955,2.347
3e-10,5e-10,1e-09,4e-10,5e-11,6e-06,3e-05,0.0326,-1.842,-6.71,6.18,0.4,0.092,-3.194
3e-10,5e-10,1e-09,4e-10,5e-11,1.1e-05,2.5e-05,0.0306,-3.828,-11.01,15.97,1.945,1.321,3.48
3e-10,5e-10,1e-09,4e-10,5e-11,1.1e-05,1.5e-05,0.0251,-4.084,-2.97,21.95,1.146,0.984,1.076
3e-10,5e-10,1e-09,4e-10,5e-11,1.1e-05,2e-05,0.0279,-3.906,-8.0,19.69,2.011,1.609,3.567
3e-10,5e-10,1e-09,4e-10,5e-11,1.1e-05,3e-05,0.0334,-3.802,-6.95,11.7,1.207,0.578,1.52
3e-10,5e-10,1e-09,4e-10,5e-11,1.1e-05,3.5e-05,0.0362,-3.788,-4.95,7.77,0.567,0.164,-1.652
3e-10,5e-10,1e-09,4e-10,1e-10,6e-06,2.5e-05,0.0298,-1.823,-12.26,10.83,0.98,0.442,0.591
3e-10,5e-10,1e-09,4e-10,1e-10,6e-06,1.5e-05,0.0242,-1.84,-2.51,16.56,0.901,0.664,0.045
3e-10,5e-10,1e-09,4e-10,1e-10,6e-06,2e-05,0.027,-1.834,-8.96,15.11,1.503,0.97,2.334
3e-10,5e-10,1e-09,4e-10,1e-10,6e-06,3e-05,0.0326,-1.82,-7.62,6.31,0.394,0.094,-3.258
3e-10,5e-10,1e-09,4e-10,1e-10,1.1e-05,2.5e-05,0.0306,-3.761,-12.85,16.21,1.929,1.318,3.44
3e-10,5e-10,1e-09,4e-10,1e-10,1.1e-05,1.5e-05,0.0251,-4.058,-3.32,22.67,1.126,0.992,0.995
3e-10,5e-10,1e-09,4e-10,1e-10,1.1e-05,2e-05,0.0278,-3.838,-8.73,20.0,1.999,1.606,3.536
3e-10,5e-10,1e-09,4e-10,1e-10,1.1e-05,3e-05,0.0334,-3.735,-7.87,11.99,1.189,0.585,1.453
3e-10,5e-10,1e-09,4e-10,1e-10,1.1e-05,3.5e-05,0.0362,-3.722,-5.55,8.13,0.565,0.174,-1.673
3e-10,5e-10,1e-09,4e-10,1.5e-10,6e-06,2.5e-05,0.0298,-1.801,-14.63,10.85,0.938,0.431,0.396
3e-10,5e-10,1e-09,4e-10,1.5e-10,6e-06,1.5e-05,0.0242,-1.822,-2.86,17.33,0.894,0.689,0.008
3e-10,5e-10,1e-09,4e-10,1.5e-10,6e-06,2e-05,0.027,-1.812,-9.97,15.25,1.485,0.97,2.277
3e-10,5e-10,1e-09,4e-10,1.5e-10,6e-06,3e-05,0.0326,-1.797,-8.69,6.41,0.381,0.095,-3.415
3e-10,5e-10,1e-09,4e-10,1.5e-10,6e-06,3.5e-05,0.0353,-1.795,-6.15,2.45,0.154,0.01,-7.237
3e-10,5e-10,1e-09,4e-10,1.5e-10,1.1e-05,2.5e-05,0.0306,-3.692,-15.08,16.39,1.909,1.296,3.389
3e-10,5e-10,1e-09,4e-10,1.5e-10,1.1e-05,1.5e-05,0.0251,-4.032,-3.69,23.32,1.107,0.993,0.916
3e-10,5e-10,1e-09,4e-10,1.5e-10,1.1e-05,2e-05,0.0278,-3.77,-9.22,20.24,1.995,1.599,3.52
3e-10,5e-10,1e-09,4e-10,1.5e-10,1.1e-05,3e-05,0.0334,-3.668,-8.91,12.24,1.163,0.577,1.352
3e-10,5e-10,1e-09,4e-10,1.5e-10,1.1e-05,3.5e-05,0.0361,-3.655,-6.23,8.46,0.556,0.177,-1.74
3e-10,5e-10,1e-09,4e-10,2e-10,6e-06,2.5e-05,0.0298,-1.778,-17.7,10.83,0.877,0.413,0.103
3e-10,5e-10,1e-09,4e-10,2e-10,6e-06,1.5e-05,0.0242,-1.805,-3.29,18.05,0.887,0.706,-0.031
3e-10,5e-10,1e-09,4e-10,2e-10,6e-06,2e-05,0.027,-1.789,-10.58,15.29,1.445,0.958,2.156
3e-10,5e-10,1e-09,4e-10,2e-10,6e-06,3e-05,0.0325,-1.774,-9.91,6.45,0.359,0.094,-3.672
3e-10,5e-10,1e-09,4e-10,2e-10,6e-06,3.5e-05,0.0353,-1.772,-6.92,2.56,0.148,0.011,-7.415
3e-10,5e-10,1e-09,4e-10,2e-10,1.1e-05,2.5e-05,0.0306,-3.623,-17.72,16.54,1.866,1.255,3.285
3e-10,5e-10,1e-09,4e-10,2e-10,1.1e-05,1.5e-05,0.025,-4.002,-4.05,23.89,1.102,0.998,0.895
3e-10,5e-10,1e-09,4e-10,2e-10,1.1e-05,2e-05,0.0278,-3.699,-9.35,20.41,1.975,1.574,3.469
3e-10,5e-10,1e-09,4e-10,2e-10,1.1e-05,3e-05,0.0334,-3.6,-10.11,12.46,1.12,0.553,1.184
3e-10,5e-10,1e-09,4e-10,2e-10,1.1e-05,3.5e-05,0.0361,-3.587,-6.98,8.74,0.538,0.172,-1.894
3e-10,5e-10,1e-09,4e-10,2.5e-10,6e-06,2.5e-05,0.0297,-1.755,-21.59,10.76,0.809,0.386,-0.249
3e-10,5e-10,1e-09,4e-10,2.5e-10,6e-06,1.5e-05,0.0242,-1.787,-3.79,18.72,0.881,0.717,-0.061
3e-10,5e-10,1e-09,4e-10,2.5e-10,6e-06,2e-05,0.027,-1.766,-10.58,15.24,1.391,0.931,1.985
3e-10,5e-10,1e-09,4e-10,2.5e-10,6e-06,3e-05,0.0325,-1.751,-11.31,6.46,0.332,0.09,-4.013
3e-10,5e-10,1e-09,4e-10,2.5e-10,6e-06,3.5e-05,0.0353,-1.749,-7.77,2.63,0.14,0.011,-7.679
3e-10,5e-10,1e-09,4e-10,2.5e-10,1.1e-05,2.5e-05,0.0306,-3.555,-20.33,16.65,1.829,1.19,3.192
3e-10,5e-10,1e-09,4e-10,2.5e-10,1.1e-05,1.5e-05,0.025,-3.963,-4.33,24.35,1.096,0.989,0.869
3e-10,5e-10,1e-09,4e-10,2.5e-10,1.1e-05,2e-05,0.0278,-3.627,-9.14,20.51,1.92,1.532,3.342
3e-10,5e-10,1e-09,4e-10,2.5e-10,1.1e-05,3e-05,0.0333,-3.532,-11.47,12.64,1.07,0.508,0.978
3e-10,5e-10,1e-09,4e-10,2.5e-10,1.1e-05,3.5e-05,0.0361,-3.52,-7.8,8.98,0.512,0.159,-2.11
3e-10,5e-10,1e-09,5e-10,5e-11,6e-06,2.5e-05,0.0317,-1.845,-14.29,10.96,1.03,0.473,0.716
3e-10,5e-10,1e-09,5e-10,5e-11,6e-06,1.5e-05,0.0261,-1.858,-1.73,14.91,0.755,0.509,-0.812
3e-10,5e-10,1e-09,5e-10,5e-11,6e-06,2e-05,0.0289,-1.857,-6.72,14.6,1.377,0.86,1.869
3e-10,5e-10,1e-09,5e-10,5e-11,6e-06,3e-05,0.0345,-1.841,-8.36,6.5,0.437,0.106,-2.904
3e-10,5e-10,1e-09,5e-10,5e-11,1.1e-05,2.5e-05,0.0325,-3.826,-14.96,16.16,1.921,1.313,3.33
3e-10,5e-10,1e-09,5e-10,5e-11,1.1e-05,1.5e-05,0.0269,-4.087,-2.3,21.13,0.968,0.819,0.249
3e-10,5e-10,1e-09,5e-10,5e-11,1.1e-05,2e-05,0.0297,-3.909,-6.66,19.36,1.851,1.455,3.121
3e-10,5e-10,1e-09,5e-10,5e-11,1.1e-05,3e-05,0.0353,-3.8,-8.73,12.01,1.269,0.633,1.64
3e-10,5e-10,1e-09,5e-10,5e-11,1.1e-05,3.5e-05,0.0381,-3.787,-5.65,8.02,0.609,0.183,-1.436
3e-10,5e-10,1e-09,5e-10,1e-10,6e-06,2.5e-05,0.0317,-1.823,-17.67,10.98,0.996,0.46,0.565
3e-10,5e-10,1e-09,5e-10,1e-10,6e-06,1.5e-05,0.0261,-1.84,-1.95,15.71,0.755,0.537,-0.814
3e-10,5e-10,1e-09,5e-10,1e-10,6e-06,2e-05,0.0289,-1.835,-7.52,14.83,1.37,0.87,1.842
3e-10,5e-10,1e-09,5e-10,1e-10,6e-06,3e-05,0.0345,-1.819,-9.45,6.58,0.425,0.106,-3.025
3e-10,5e-10,1e-09,5e-10,1e-10,6e-06,3.5e-05,0.0373,-1.817,-6.17,2.5,0.168,0.011,-6.952
3e-10,5e-10,1e-09,5e-10,1e-10,1.1e-05,2.5e-05,0.0325,-3.758,-18.01,16.34,1.891,1.295,3.256
3e-10,5e-10,1e-09,5e-10,1e-10,1.1e-05,1.5e-05,0.0269,-4.064,-2.57,21.87,0.95,0.825,0.164
3e-10,5e-10,1e-09,5e-10,1e-10,1.1e-05,2e-05,0.0297,-3.842,-7.11,19.66,1.829,1.443,3.06
3e-10,5e-10,1e-09,5e-10,1e-10,1.1e-05,3e-05,0.0353,-3.732,-9.84,12.25,1.239,0.632,1.533
3e-10,5e-10,1e-09,5e-10,1e-10,1.1e-05,3.5e-05,0.0381,-3.721,-6.3,8.35,0.601,0.191,-1.492
3e-10,5e-10,1e-09,5e-10,1.5e-10,6e-06,2.5e-05,0.0317,-1.801,-22.58,10.95,0.943,0.441,0.327
3e-10,5e-10,1e-09,5e-10,1.5e-10,6e-06,1.5e-05,0.0261,-1.822,-2.22,16.5,0.75,0.56,-0.85
3e-10,5e-10,1e-09,5e-10,1.5e-10,6e-06,2e-05,0.0289,-1.813,-8.1,14.95,1.349,0.866,1.769
3e-10,5e-10,1e-09,5e-10,1.5e-10,6e-06,3e-05,0.0345,-1.797,-10.73,6.62,0.405,0.105,-3.234
3e-10,5e-10,1e-09,5e-10,1.5e-10,6e-06,3.5e-05,0.0372,-1.795,-6.92,2.63,0.164,0.012,-7.06
3e-10,5e-10,1e-09,5e-10,1.5e-10,1.1e-05,2.5e-05,0.0325,-3.689,-21.38,16.47,1.861,1.261,3.181
3e-10,5e-10,1e-09,5e-10,1.5e-10,1.1e-05,1.5e-05,0.0269,-4.04,-2.86,22.55,0.933,0.826,0.08
3e-10,5e-10,1e-09,5e-10,1.5e-10,1.1e-05,2e-05,0.0297,-3.772,-7.33,19.87,1.813,1.429,3.015
3e-10,5e-10,1e-09,5e-10,1.5e-10,1.1e-05,3e-05,0.0353,-3.665,-11.15,12.46,1.203,0.615,1.4
3e-10,5e-10,1e-09,5e-10,1.5e-10,1.1e-05,3.5e-05,0.038,-3.653,-7.04,8.65,0.589,0.192,-1.585
3e-10,5e-10,1e-09,5e-10,2e-10,6e-06,2.5e-05,0.0317,-1.778,-27.08,10.86,0.874,0.415,-0.005
3e-10,5e-10,1e-09,5e-10,2e-10,6e-06,1.5e-05,0.0261,-1.805,-2.55,17.26,0.743,0.578,-0.889
3e-10,5e-10,1e-09,5e-10,2e-10,6e-06,2e-05,0.0289,-1.79,-8.3,14.96,1.308,0.85,1.628
3e-10,5e-10,1e-09,5e-10,2e-10,6e-06,3e-05,0.0344,-1.774,-12.24,6.62,0.378,0.101,-3.538
3e-10,5e-10,1e-09,5e-10,2e-10,6e-06,3.5e-05,0.0372,-1.772,-7.77,2.72,0.157,0.012,-7.266
3e-10,5e-10,1e-09,5e-10,2e-10,1.1e-05,2.5e-05,0.0325,-3.62,-22.42,16.56,1.809,1.212,3.054
3e-10,5e-10,1e-09,5e-10,2e-10,1.1e-05,1.5e-05,0.0269,-4.013,-3.12,23.13,0.926,0.828,0.044
3e-10,5e-10,1e-09,5e-10,2e-10,1.1e-05,2e-05,0.0297,-3.7,-7.3,20.02,1.783,1.398,2.936
3e-10,5e-10,1e-09,5e-10,2e-10,1.1e-05,3e-05,0.0353,-3.597,-12.69,12.63,1.152,0.582,1.21
3e-10,5e-10,1e-09,5e-10,2e-10,1.1e-05,3.5e-05,0.038,-3.585,-7.88,8.9,0.566,0.185,-1.759
3e-10,5e-10,1e-09,5e-10,2.5e-10,6e-06,2.5e-05,0.0316,-1.754,-22.69,10.74,0.8,0.38,-0.389
3e-10,5e-10,1e-09,5e-10,2.5e-10,6e-06,1.5e-05,0.0261,-1.788,-2.93,17.96,0.738,0.588,-0.922
3e-10,5e-10,1e-09,5e-10,2.5e-10,6e-06,2e-05,0.0289,-1.766,-8.1,14.88,1.253,0.821,1.438
3e-10,5e-10,1e-09,5e-10,2.5e-10,6e-06,3e-05,0.0344,-1.751,-14.04,6.58,0.346,0.096,-3.921
3e-10,5e-10,1e-09,5e-10,2.5e-10,6e-06,3.5e-05,0.0372,-1.749,-8.73,2.77,0.147,0.013,-7.551
3e-10,5e-10,1e-09,5e-10,2.5e-10,1.1e-05,2.5e-05,0.0325,-3.552,-19.9,16.61,1.766,1.142,2.945
3e-10,5e-10,1e-09,5e-10,2.5e-10,1.1e-05,1.5e-05,0.0269,-3.976,-3.34,23.61,0.918,0.818,0.004
3e-10,5e-10,1e-09,5e-10,2.5e-10,1.1e-05,2e-05,0.0297,-3.627,-7.04,20.09,1.717,1.352,2.768
3e-10,5e-10,1e-09,5e-10,2.5e-10,1.1e-05,3e-05,0.0352,-3.53,-14.54,12.77,1.096,0.53,0.987
3e-10,5e-10,1e-09,5e-10,2.5e-10,1.1e-05,3.5e-05,0.038,-3.519,-8.83,9.13,0.537,0.169,-1.992
3e-10,5e-10,1e-09,7e-10,5e-11,6e-06,2.5e-05,0.0349,-1.845,-23.85,11.05,0.992,0.476,0.369
3e-10,5e-10,1e-09,7e-10,5e-11,6e-06,1.5e-05,0.0293,-1.858,-1.2,13.54,0.57,0.359,-2.211
3e-10,5e-10,1e-09,7e-10,5e-11,6e-06,2e-05,0.0321,-1.858,-5.14,14.01,1.15,0.693,0.907
3e-10,5e-10,1e-09,7e-10,5e-11,6e-06,3e-05,0.0377,-1.841,-9.5,6.61,0.464,0.115,-2.821
3e-10,5e-10,1e-09,7e-10,5e-11,1.1e-05,2.5e-05,0.0358,-3.823,-20.29,16.21,1.735,1.185,2.701
3e-10,5e-10,1e-09,7e-10,5e-11,1.1e-05,1.5e-05,0.0302,-4.093,-1.59,19.82,0.735,0.605,-1.124
3e-10,5e-10,1e-09,7e-10,5e-11,1.1e-05,2e-05,0.033,-3.915,-4.95,18.69,1.543,1.181,2.154
3e-10,5e-10,1e-09,7e-10,5e-11,1.1e-05,3e-05,0.0386,-3.796,-10.03,12.13,1.23,0.647,1.322
3e-10,5e-10,1e-09,7e-10,5e-11,1.1e-05,3.5e-05,0.0413,-3.784,-5.56,7.94,0.615,0.184,-1.567
3e-10,5e-10,1e-09,7e-10,1e-10,6e-06,2.5e-05,0.0349,-1.823,-21.69,10.98,0.945,0.452,0.158
3e-10,5e-10,1e-09,7e-10,1e-10,6e-06,1.5e-05,0.0293,-1.84,-1.35,14.36,0.57,0.383,-2.218
3e-10,5e-10,1e-09,7e-10,1e-10,6e-06,2e-05,0.0321,-1.836,-5.6,14.23,1.137,0.695,0.851
3e-10,5e-10,1e-09,7e-10,1e-10,6e-06,3e-05,0.0377,-1.819,-10.22,6.61,0.443,0.112,-3.019
3e-10,5e-10,1e-09,7e-10,1e-10,6e-06,3.5e-05,0.0405,-1.817,-5.92,2.36,0.17,0.01,-7.085
3e-10,5e-10,1e-09,7e-10,1e-10,1.1e-05,2.5e-05,0.0358,-3.754,-18.58,16.3,1.689,1.15,2.579
3e-10,5e-10,1e-09,7e-10,1e-10,1.1e-05,1.5e-05,0.0302,-4.072,-1.77,20.59,0.721,0.609,-1.213
3e-10,5e-10,1e-09,7e-10,1e-10,1.1e-05,2e-05,0.033,-3.847,-5.16,18.97,1.51,1.16,2.052
3e-10,5e-10,1e-09,7e-10,1e-10,1.1e-05,3e-05,0.0385,-3.729,-10.78,12.3,1.19,0.633,1.176
3e-10,5e-10,1e-09,7e-10,1e-10,1.1e-05,3.5e-05,0.0413,-3.718,-6.07,8.23,0.603,0.189,-1.653
3e-10,5e-10,1e-09,7e-10,1.5e-10,6e-06,2.5e-05,0.0349,-1.8,-17.46,10.85,0.886,0.422,-0.125
3e-10,5e-10,1e-09,7e-10,1.5e-10,6e-06,1.5e-05,0.0293,-1.822,-1.54,15.19,0.565,0.402,-2.255
3e-10,5e-10,1e-09,7e-10,1.5e-10,6e-06,2e-05,0.0321,-1.814,-5.84,14.32,1.112,0.685,0.75
3e-10,5e-10,1e-09,7e-10,1.5e-10,6e-06,3e-05,0.0377,-1.796,-10.94,6.58,0.416,0.107,-3.295
3e-10,5e-10,1e-09,7e-10,1.5e-10,6e-06,3.5e-05,0.0405,-1.795,-6.5,2.46,0.165,0.011,-7.223
3e-10,5e-10,1e-09,7e-10,1.5e-10,1.1e-05,2.5e-05,0.0357,-3.685,-15.91,16.34,1.651,1.106,2.476
3e-10,5e-10,1e-09,7e-10,1.5e-10,1.1e-05,1.5e-05,0.0302,-4.051,-1.96,21.29,0.707,0.611,-1.302
3e-10,5e-10,1e-09,7e-10,1.5e-10,1.1e-05,2e-05,0.033,-3.775,-5.21,19.16,1.484,1.138,1.969
3e-10,5e-10,1e-09,7e-10,1.5e-10,1.1e-05,3e-05,0.0385,-3.662,-11.53,12.43,1.149,0.606,1.017
3e-10,5e-10,1e-09,7e-10,1.5e-10,1.1e-05,3.5e-05,0.0413,-3.651,-6.65,8.49,0.588,0.189,-1.768
3e-10,5e-10,1e-09,7e-10,2e-10,6e-06,2.5e-05,0.0349,-1.777,-14.48,10.67,0.816,0.386,-0.487
3e-10,5e-10,1e-09,7e-10,2e-10,6e-06,1.5e-05,0.0293,-1.805,-1.76,15.98,0.56,0.416,-2.295
3e-10,5e-10,1e-09,7e-10,2e-10,6e-06,2e-05,0.0321,-1.791,-5.82,14.29,1.071,0.665,0.582
3e-10,5e-10,1e-09,7e-10,2e-10,6e-06,3e-05,0.0377,-1.774,-11.64,6.52,0.383,0.101,-3.657
3e-10,5e-10,1e-09,7e-10,2e-10,6e-06,3.5e-05,0.0404,-1.772,-7.14,2.53,0.156,0.011,-7.449
3e-10,5e-10,1e-09,7e-10,2e-10,1.1e-05,2.5e-05,0.0357,-3.615,-13.67,16.34,1.596,1.053,2.326
3e-10,5e-10,1e-09,7e-10,2e-10,1.1e-05,1.5e-05,0.0302,-4.027,-2.14,21.89,0.699,0.613,-1.357
3e-10,5e-10,1e-09,7e-10,2e-10,1.1e-05,2e-05,0.0329,-3.701,-5.1,19.26,1.45,1.104,1.861
3e-10,5e-10,1e-09,7e-10,2e-10,1.1e-05,3e-05,0.0385,-3.594,-12.24,12.55,1.097,0.566,0.815
3e-10,5e-10,1e-09,7e-10,2e-10,1.1e-05,3.5e-05,0.0412,-3.584,-7.3,8.73,0.564,0.18,-1.952
3e-10,5e-10,1e-09,7e-10,2.5e-10,6e-06,2.5e-05,0.0349,-1.754,-12.38,10.45,0.743,0.346,-0.89
3e-10,5e-10,1e-09,7e-10,2.5e-10,6e-06,1.5e-05,0.0293,-1.788,-2.02,16.72,0.556,0.422,-2.334
3e-10,5e-10,1e-09,7e-10,2.5e-10,6e-06,2e-05,0.0321,-1.767,-5.57,14.15,1.021,0.638,0.37
3e-10,5e-10,1e-09,7e-10,2.5e-10,6e-06,3e-05,0.0376,-1.751,-12.28,6.44,0.347,0.094,-4.088
3e-10,5e-10,1e-09,7e-10,2.5e-10,6e-06,3.5e-05,0.0404,-1.749,-7.86,2.56,0.146,0.011,-7.747
3e-10,5e-10,1e-09,7e-10,2.5e-10,1.1e-05,2.5e-05,0.0357,-3.546,-11.93,16.32,1.553,0.986,2.203
3e-10,5e-10,1e-09,7e-10,2.5e-10,1.1e-05,1.5e-05,0.0302,-3.992,-2.28,22.38,0.69,0.605,-1.414
3e-10,5e-10,1e-09,7e-10,2.5e-10,1.1e-05,2e-05,0.0329,-3.626,-4.87,19.29,1.385,1.06,1.657
3e-10,5e-10,1e-09,7e-10,2.5e-10,1.1e-05,3e-05,0.0385,-3.527,-12.89,12.64,1.043,0.511,0.591
3e-10,5e-10,1e-09,7e-10,2.5e-10,1.1e-05,3.5e-05,0.0412,-3.517,-8.01,8.94,0.534,0.166,-2.191
3e-10,5e-10,1e-09,8e-10,5e-11,6e-06,2.5e-05,0.0363,-1.845,-20.21,11.01,0.951,0.462,0.101
3e-10,5e-10,1e-09,8e-10,5e-11,6e-06,1.5e-05,0.0307,-1.858,-1.04,12.98,0.509,0.311,-2.786
3e-10,5e-10,1e-09,8e-10,5e-11,6e-06,2e-05,0.0335,-1.858,-4.6,13.73,1.06,0.625,0.468
3e-10,5e-10,1e-09,8e-10,5e-11,6e-06,3e-05,0.0391,-1.841,-9.01,6.52,0.462,0.113,-2.92
