C1,L,Vbias,W1,Wvar,idc,DCPowerConsumption,OscillationFrequency,TuningRange,OutputPower,PhaseNoise
1.1e-13,3e-10,0.9,3e-05,1.4e-05,0.0125,0.0159,31500000000.0,1140000000.0,15.75,-96.74
1.1e-13,3e-10,0.9,3e-05,1.4e-05,0.015,0.0199,31300000000.0,834000000.0,15.74,-80.11
1.1e-13,3e-10,0.9,3e-05,1.5e-05,0.01,0.0122,31700000000.0,1290000000.0,15.69,-101.8
1.1e-13,3e-10,0.9,3e-05,1.5e-05,0.005,0.00549,31300000000.0,1680000000.0,14.59,-104.8
1.1e-13,3e-10,0.9,3e-05,1.5e-05,0.0075,0.00869,34000000000.0,1460000000.0,15.49,-104.3
1.1e-13,3e-10,0.9,3e-05,1.5e-05,0.0125,0.0159,31300000000.0,1100000000.0,15.8,-98.7
1.1e-13,3e-10,0.9,3e-05,1.5e-05,0.015,0.0199,31100000000.0,732000000.0,15.79,-90.65
1.1e-13,3e-10,0.9,3.2e-05,1e-05,0.01,0.012,32300000000.0,1330000000.0,15.15,-92.3
1.1e-13,3e-10,0.9,3.2e-05,1e-05,0.005,0.00544,33000000000.0,1680000000.0,14.59,-96.69
1.1e-13,3e-10,0.9,3.2e-05,1e-05,0.0075,0.00861,33400000000.0,1480000000.0,14.92,-98.55
1.1e-13,3e-10,0.9,3.2e-05,1e-05,0.0125,0.0157,31900000000.0,1190000000.0,15.29,-89.88
1.1e-13,3e-10,0.9,3.2e-05,1e-05,0.015,0.0196,31700000000.0,1010000000.0,15.34,-95.26
1.1e-13,3e-10,0.9,3.2e-05,5e-06,0.01,0.012,33700000000.0,1100000000.0,14.59,-84.3
1.1e-13,3e-10,0.9,3.2e-05,5e-06,0.005,0.00544,35900000000.0,1270000000.0,14.59,-88.5
1.1e-13,3e-10,0.9,3.2e-05,5e-06,0.0075,0.00861,34200000000.0,1200000000.0,14.59,-87.21
1.1e-13,3e-10,0.9,3.2e-05,5e-06,0.0125,0.0157,33500000000.0,971000000.0,14.59,-83.29
1.1e-13,3e-10,0.9,3.2e-05,5e-06,0.015,0.0196,33400000000.0,851000000.0,14.59,-85.75
1.1e-13,3e-10,0.9,3.2e-05,6e-06,0.01,0.012,33400000000.0,1190000000.0,14.59,-85.89
1.1e-13,3e-10,0.9,3.2e-05,6e-06,0.005,0.00544,35600000000.0,1420000000.0,14.59,-89.86
1.1e-13,3e-10,0.9,3.2e-05,6e-06,0.0075,0.00861,33700000000.0,1310000000.0,14.59,-88.78
1.1e-13,3e-10,0.9,3.2e-05,6e-06,0.0125,0.0157,33300000000.0,1060000000.0,14.59,-84.37
1.1e-13,3e-10,0.9,3.2e-05,6e-06,0.015,0.0196,33000000000.0,914000000.0,14.65,-86.19
1.1e-13,3e-10,0.9,3.2e-05,7e-06,0.01,0.012,33100000000.0,1250000000.0,14.62,-87.35
1.1e-13,3e-10,0.9,3.2e-05,7e-06,0.005,0.00544,34600000000.0,1530000000.0,14.59,-91.58
1.1e-13,3e-10,0.9,3.2e-05,7e-06,0.0075,0.00861,33600000000.0,1380000000.0,14.59,-90.84
1.1e-13,3e-10,0.9,3.2e-05,7e-06,0.0125,0.0157,32800000000.0,1110000000.0,14.78,-85.36
1.1e-13,3e-10,0.9,3.2e-05,7e-06,0.015,0.0196,32600000000.0,958000000.0,14.87,-87.55
1.1e-13,3e-10,0.9,3.2e-05,8e-06,0.01,0.012,32700000000.0,1300000000.0,14.82,-89.16
1.1e-13,3e-10,0.9,3.2e-05,8e-06,0.005,0.00544,34200000000.0,1610000000.0,14.59,-93.15
1.1e-13,3e-10,0.9,3.2e-05,8e-06,0.0075,0.00861,33700000000.0,1430000000.0,14.59,-93.49
1.1e-13,3e-10,0.9,3.2e-05,8e-06,0.0125,0.0157,32500000000.0,1160000000.0,14.97,-86.97
1.1e-13,3e-10,0.9,3.2e-05,8e-06,0.015,0.0196,32400000000.0,984000000.0,15.06,-90.45
1.1e-13,3e-10,0.9,3.2e-05,9e-06,0.01,0.012,32500000000.0,1320000000.0,15.0,-88.63
1.1e-13,3e-10,0.9,3.2e-05,9e-06,0.005,0.00544,33900000000.0,1650000000.0,14.59,-94.72
1.1e-13,3e-10,0.9,3.2e-05,9e-06,0.0075,0.00861,33300000000.0,1460000000.0,14.77,-95.16
1.1e-13,3e-10,0.9,3.2e-05,9e-06,0.0125,0.0157,32300000000.0,1170000000.0,15.15,-88.08
1.1e-13,3e-10,0.9,3.2e-05,9e-06,0.015,0.0196,32100000000.0,1000000000.0,15.21,-93.16
1.1e-13,3e-10,0.9,3.2e-05,1.1e-05,0.01,0.012,31900000000.0,1340000000.0,15.27,-94.27
1.1e-13,3e-10,0.9,3.2e-05,1.1e-05,0.005,0.00544,32600000000.0,1690000000.0,14.59,-98.34
1.1e-13,3e-10,0.9,3.2e-05,1.1e-05,0.0075,0.00861,33700000000.0,1480000000.0,15.05,-101.8
1.1e-13,3e-10,0.9,3.2e-05,1.1e-05,0.0125,0.0157,31700000000.0,1190000000.0,15.41,-91.41
1.1e-13,3e-10,0.9,3.2e-05,1.1e-05,0.015,0.0196,31500000000.0,986000000.0,15.46,-99.44
1.1e-13,3e-10,0.9,3.2e-05,1.2e-05,0.01,0.012,31600000000.0,1340000000.0,15.38,-96.25
1.1e-13,3e-10,0.9,3.2e-05,1.2e-05,0.005,0.00544,32400000000.0,1690000000.0,14.59,-101.4
1.1e-13,3e-10,0.9,3.2e-05,1.2e-05,0.0075,0.00861,33500000000.0,1480000000.0,15.15,-103.9
1.1e-13,3e-10,0.9,3.2e-05,1.2e-05,0.0125,0.0157,31500000000.0,1170000000.0,15.51,-93.6
1.1e-13,3e-10,0.9,3.2e-05,1.2e-05,0.015,0.0196,31200000000.0,965000000.0,15.56,-100.4
1.1e-13,3e-10,0.9,3.2e-05,1.3e-05,0.01,0.012,31500000000.0,1320000000.0,15.47,-98.06
1.1e-13,3e-10,0.9,3.2e-05,1.3e-05,0.005,0.00544,31700000000.0,1680000000.0,14.59,-101.3
1.1e-13,3e-10,0.9,3.2e-05,1.3e-05,0.0075,0.00861,33400000000.0,1470000000.0,15.23,-102.5
1.1e-13,3e-10,0.9,3.2e-05,1.3e-05,0.0125,0.0157,31200000000.0,1170000000.0,15.6,-94.4
1.1e-13,3e-10,0.9,3.2e-05,1.3e-05,0.015,0.0196,31000000000.0,901000000.0,15.64,-95.33
1.1e-13,3e-10,0.9,3.2e-05,1.4e-05,0.01,0.012,31400000000.0,1300000000.0,15.54,-93.52
1.1e-13,3e-10,0.9,3.2e-05,1.4e-05,0.005,0.00544,31100000000.0,1660000000.0,14.59,-102.9
1.1e-13,3e-10,0.9,3.2e-05,1.4e-05,0.0075,0.00861,33600000000.0,1450000000.0,15.3,-105.2
1.1e-13,3e-10,0.9,3.2e-05,1.4e-05,0.0125,0.0157,31000000000.0,1140000000.0,15.67,-97.15
1.1e-13,3e-10,0.9,3.2e-05,1.4e-05,0.015,0.0196,30800000000.0,861000000.0,15.7,-89.14
1.1e-13,3e-10,0.9,3.2e-05,1.5e-05,0.01,0.012,31100000000.0,1280000000.0,15.6,-103.0
1.1e-13,3e-10,0.9,3.2e-05,1.5e-05,0.005,0.00544,30800000000.0,1630000000.0,14.59,-104.0
1.1e-13,3e-10,0.9,3.2e-05,1.5e-05,0.0075,0.00861,33900000000.0,1430000000.0,15.36,-104.3
1.1e-13,3e-10,0.9,3.2e-05,1.5e-05,0.0125,0.0157,30700000000.0,1110000000.0,15.73,-99.29
1.1e-13,3e-10,0.9,3.2e-05,1.5e-05,0.015,0.0196,30600000000.0,811000000.0,15.75,-89.69
1.1e-13,3e-10,0.9,3.4e-05,1e-05,0.01,0.0119,31600000000.0,1300000000.0,15.01,-93.04
1.1e-13,3e-10,0.9,3.4e-05,1e-05,0.005,0.00541,32900000000.0,1590000000.0,14.59,-95.96
1.1e-13,3e-10,0.9,3.4e-05,1e-05,0.0075,0.00854,32900000000.0,1420000000.0,14.75,-97.58
1.1e-13,3e-10,0.9,3.4e-05,1e-05,0.0125,0.0155,31400000000.0,1160000000.0,15.18,-90.39
1.1e-13,3e-10,0.9,3.4e-05,1e-05,0.015,0.0194,31300000000.0,1010000000.0,15.27,-95.23
1.1e-13,3e-10,0.9,3.4e-05,5e-06,0.01,0.0119,33200000000.0,1040000000.0,14.59,-84.56
1.1e-13,3e-10,0.9,3.4e-05,5e-06,0.005,0.00541,35900000000.0,1150000000.0,14.59,-88.74
1.1e-13,3e-10,0.9,3.4e-05,5e-06,0.0075,0.00854,33000000000.0,1120000000.0,14.59,-87.14
1.1e-13,3e-10,0.9,3.4e-05,5e-06,0.0125,0.0155,33000000000.0,931000000.0,14.59,-83.27
1.1e-13,3e-10,0.9,3.4e-05,5e-06,0.015,0.0194,32800000000.0,836000000.0,14.59,-86.49
1.1e-13,3e-10,0.9,3.4e-05,6e-06,0.01,0.0119,32800000000.0,1130000000.0,14.59,-87.37
1.1e-13,3e-10,0.9,3.4e-05,6e-06,0.005,0.00541,34800000000.0,1300000000.0,14.59,-90.33
1.1e-13,3e-10,0.9,3.4e-05,6e-06,0.0075,0.00854,33200000000.0,1230000000.0,14.59,-89.2
1.1e-13,3e-10,0.9,3.4e-05,6e-06,0.0125,0.0155,32600000000.0,1020000000.0,14.59,-84.97
1.1e-13,3e-10,0.9,3.4e-05,6e-06,0.015,0.0194,32500000000.0,899000000.0,14.59,-87.16
1.1e-13,3e-10,0.9,3.4e-05,7e-06,0.01,0.0119,32500000000.0,1200000000.0,14.59,-88.06
1.1e-13,3e-10,0.9,3.4e-05,7e-06,0.005,0.00541,34600000000.0,1410000000.0,14.59,-91.53
1.1e-13,3e-10,0.9,3.4e-05,7e-06,0.0075,0.00854,32900000000.0,1310000000.0,14.59,-91.19
1.1e-13,3e-10,0.9,3.4e-05,7e-06,0.0125,0.0155,32300000000.0,1070000000.0,14.65,-86.83
1.1e-13,3e-10,0.9,3.4e-05,7e-06,0.015,0.0194,32200000000.0,955000000.0,14.76,-89.34
1.1e-13,3e-10,0.9,3.4e-05,8e-06,0.01,0.0119,32300000000.0,1250000000.0,14.67,-89.19
1.1e-13,3e-10,0.9,3.4e-05,8e-06,0.005,0.00541,33800000000.0,1500000000.0,14.59,-92.75
1.1e-13,3e-10,0.9,3.4e-05,8e-06,0.0075,0.00854,32700000000.0,1360000000.0,14.59,-93.22
1.1e-13,3e-10,0.9,3.4e-05,8e-06,0.0125,0.0155,32000000000.0,1120000000.0,14.86,-87.54
1.1e-13,3e-10,0.9,3.4e-05,8e-06,0.015,0.0194,31800000000.0,984000000.0,14.96,-90.72
1.1e-13,3e-10,0.9,3.4e-05,9e-06,0.01,0.0119,32000000000.0,1280000000.0,14.85,-91.5
1.1e-13,3e-10,0.9,3.4e-05,9e-06,0.005,0.00541,33100000000.0,1550000000.0,14.59,-94.33
1.1e-13,3e-10,0.9,3.4e-05,9e-06,0.0075,0.00854,32900000000.0,1400000000.0,14.59,-95.09
1.1e-13,3e-10,0.9,3.4e-05,9e-06,0.0125,0.0155,31700000000.0,1150000000.0,15.03,-88.94
1.1e-13,3e-10,0.9,3.4e-05,9e-06,0.015,0.0194,31500000000.0,998000000.0,15.12,-95.26
1.1e-13,3e-10,0.9,3.4e-05,1.1e-05,0.01,0.0119,31400000000.0,1300000000.0,15.14,-95.49
1.1e-13,3e-10,0.9,3.4e-05,1.1e-05,0.005,0.00541,32400000000.0,1610000000.0,14.59,-97.4
1.1e-13,3e-10,0.9,3.4e-05,1.1e-05,0.0075,0.00854,32700000000.0,1430000000.0,14.88,-100.1
1.1e-13,3e-10,0.9,3.4e-05,1.1e-05,0.0125,0.0155,31200000000.0,1170000000.0,15.3,-92.44
1.1e-13,3e-10,0.9,3.4e-05,1.1e-05,0.015,0.0194,31000000000.0,1010000000.0,15.39,-99.3
1.1e-13,3e-10,0.9,3.4e-05,1.2e-05,0.01,0.0119,31200000000.0,1300000000.0,15.26,-97.22
1.1e-13,3e-10,0.9,3.4e-05,1.2e-05,0.005,0.00541,31600000000.0,1620000000.0,14.59,-98.96
1.1e-13,3e-10,0.9,3.4e-05,1.2e-05,0.0075,0.00854,32900000000.0,1440000000.0,14.99,-102.9
1.1e-13,3e-10,0.9,3.4e-05,1.2e-05,0.0125,0.0155,30900000000.0,1160000000.0,15.41,-94.37
1.1e-13,3e-10,0.9,3.4e-05,1.2e-05,0.015,0.0194,30700000000.0,981000000.0,15.49,-99.66
1.1e-13,3e-10,0.9,3.4e-05,1.3e-05,0.01,0.0119,31000000000.0,1300000000.0,15.35,-98.56
1.1e-13,3e-10,0.9,3.4e-05,1.3e-05,0.005,0.00541,31200000000.0,1610000000.0,14.59,-100.5
1.1e-13,3e-10,0.9,3.4e-05,1.3e-05,0.0075,0.00854,33200000000.0,1430000000.0,15.08,-104.7
1.1e-13,3e-10,0.9,3.4e-05,1.3e-05,0.0125,0.0155,30700000000.0,1160000000.0,15.51,-95.9
1.1e-13,3e-10,0.9,3.4e-05,1.3e-05,0.015,0.0194,30500000000.0,958000000.0,15.57,-98.58
1.1e-13,3e-10,0.9,3.4e-05,1.4e-05,0.01,0.0119,30700000000.0,1280000000.0,15.43,-101.4
1.1e-13,3e-10,0.9,3.4e-05,1.4e-05,0.005,0.00541,31000000000.0,1600000000.0,14.59,-101.4
1.1e-13,3e-10,0.9,3.4e-05,1.4e-05,0.0075,0.00854,33300000000.0,1420000000.0,15.16,-104.8
1.1e-13,3e-10,0.9,3.4e-05,1.4e-05,0.0125,0.0155,30500000000.0,1140000000.0,15.59,-97.7
1.1e-13,3e-10,0.9,3.4e-05,1.4e-05,0.015,0.0194,30300000000.0,925000000.0,15.65,-96.71
1.1e-13,3e-10,0.9,3.4e-05,1.5e-05,0.01,0.0119,30600000000.0,1260000000.0,15.5,-102.7
1.1e-13,3e-10,0.9,3.4e-05,1.5e-05,0.005,0.00541,30700000000.0,1580000000.0,14.59,-102.6
1.1e-13,3e-10,0.9,3.4e-05,1.5e-05,0.0075,0.00854,33400000000.0,1400000000.0,15.21,-104.2
1.1e-13,3e-10,0.9,3.4e-05,1.5e-05,0.0125,0.0155,30300000000.0,1120000000.0,15.65,-99.57
1.1e-13,3e-10,0.9,3.4e-05,1.5e-05,0.015,0.0194,30100000000.0,891000000.0,15.7,-91.92
1.1e-13,3e-10,0.9,3.6e-05,1e-05,0.01,0.0118,31200000000.0,1260000000.0,14.87,-93.57
1.1e-13,3e-10,0.9,3.6e-05,1e-05,0.005,0.00537,32300000000.0,1500000000.0,14.59,-95.66
1.1e-13,3e-10,0.9,3.6e-05,1e-05,0.0075,0.00847,32000000000.0,1370000000.0,14.59,-97.16
1.1e-13,3e-10,0.9,3.6e-05,1e-05,0.0125,0.0153,31000000000.0,1140000000.0,15.06,-91.42
1.1e-13,3e-10,0.9,3.6e-05,1e-05,0.015,0.0191,30800000000.0,1010000000.0,15.18,-97.79
1.1e-13,3e-10,0.9,3.6e-05,5e-06,0.01,0.0118,32600000000.0,981000000.0,14.59,-85.88
1.1e-13,3e-10,0.9,3.6e-05,5e-06,0.005,0.00537,35300000000.0,1060000000.0,14.59,-89.12
1.1e-13,3e-10,0.9,3.6e-05,5e-06,0.0075,0.00847,32600000000.0,1050000000.0,14.59,-87.98
1.1e-13,3e-10,0.9,3.6e-05,5e-06,0.0125,0.0153,32500000000.0,906000000.0,14.59,-84.46
1.1e-13,3e-10,0.9,3.6e-05,5e-06,0.015,0.0191,32300000000.0,819000000.0,14.59,-86.99
1.1e-13,3e-10,0.9,3.6e-05,6e-06,0.01,0.0118,32300000000.0,1080000000.0,14.59,-86.62
