C1,C2,Ld,Lg,Ls,WN1,WN2,Bandwidth,DCPowerConsumption,S11,NoiseFigure,PowerGain
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7e-06,1.2e-05,5670000000.0,0.0263,-4.91,3.567,9.16
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7e-06,1.3e-05,5290000000.0,0.0264,-4.99,3.561,8.71
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7e-06,1.4e-05,5050000000.0,0.0265,-5.06,3.566,8.2
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7.6e-06,8e-06,7900000000.0,0.0271,-3.73,4.441,8.64
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7.6e-06,5e-06,9720000000.0,0.0246,-3.11,6.072,4.53
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7.6e-06,6e-06,9150000000.0,0.0258,-3.36,5.216,6.57
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7.6e-06,7e-06,8520000000.0,0.0266,-3.56,4.726,7.88
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7.6e-06,9e-06,7260000000.0,0.0274,-3.87,4.275,8.97
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7.6e-06,1e-05,6700000000.0,0.0277,-3.99,4.176,9.0
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7.6e-06,1.1e-05,6270000000.0,0.0279,-4.08,4.116,8.82
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7.6e-06,1.2e-05,5790000000.0,0.0281,-4.17,4.082,8.49
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7.6e-06,1.3e-05,5420000000.0,0.0282,-4.23,4.066,8.06
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,7.6e-06,1.4e-05,5150000000.0,0.0283,-4.29,4.064,7.56
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.2e-06,8e-06,8280000000.0,0.0286,-3.26,5.081,7.78
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.2e-06,5e-06,10300000000.0,0.0256,-2.67,7.086,3.25
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.2e-06,6e-06,9650000000.0,0.027,-2.9,6.069,5.43
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.2e-06,7e-06,8980000000.0,0.028,-3.1,5.449,6.9
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.2e-06,9e-06,7630000000.0,0.0291,-3.39,4.859,8.21
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.2e-06,1e-05,7060000000.0,0.0294,-3.5,4.723,8.31
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.2e-06,1.1e-05,6500000000.0,0.0296,-3.59,4.64,8.17
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.2e-06,1.2e-05,6010000000.0,0.0298,-3.66,4.59,7.87
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.2e-06,1.3e-05,5670000000.0,0.03,-3.72,4.562,7.46
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.2e-06,1.4e-05,5240000000.0,0.0301,-3.77,4.55,6.99
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.8e-06,8e-06,8730000000.0,0.0301,-2.91,5.722,6.96
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.8e-06,5e-06,10900000000.0,0.0265,-2.36,8.069,2.07
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.8e-06,6e-06,10200000000.0,0.0282,-2.57,6.922,4.35
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.8e-06,7e-06,9460000000.0,0.0293,-2.75,6.183,5.95
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.8e-06,9e-06,8060000000.0,0.0306,-3.04,5.439,7.48
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.8e-06,1e-05,7410000000.0,0.031,-3.15,5.262,7.65
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.8e-06,1.1e-05,6800000000.0,0.0313,-3.23,5.151,7.56
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.8e-06,1.2e-05,6310000000.0,0.0316,-3.3,5.082,7.3
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.8e-06,1.3e-05,5840000000.0,0.0318,-3.36,5.041,6.92
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,8.8e-06,1.4e-05,5400000000.0,0.0319,-3.4,5.019,6.46
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,9.4e-06,8e-06,9190000000.0,0.0315,-2.64,6.363,6.15
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,9.4e-06,5e-06,11500000000.0,0.0273,-2.13,9.003,0.99
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,9.4e-06,6e-06,10700000000.0,0.0292,-2.32,7.755,3.32
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,9.4e-06,7e-06,9970000000.0,0.0305,-2.49,6.912,5.03
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,9.4e-06,9e-06,8440000000.0,0.0322,-2.77,6.014,6.78
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,9.4e-06,1e-05,7730000000.0,0.0326,-2.88,5.79,7.02
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,9.4e-06,1.1e-05,7100000000.0,0.033,-2.96,5.648,6.99
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,9.4e-06,1.2e-05,6590000000.0,0.0333,-3.03,5.557,6.77
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,9.4e-06,1.3e-05,6040000000.0,0.0335,-3.08,5.5,6.41
1.3e-13,1.6e-13,2e-10,8e-10,5e-11,9.4e-06,1.4e-05,5610000000.0,0.0337,-3.12,5.467,5.98
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4.6e-06,8e-06,6860000000.0,0.0186,-16.18,2.124,12.43
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4.6e-06,5e-06,7700000000.0,0.018,-17.25,2.331,10.76
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4.6e-06,6e-06,7370000000.0,0.0183,-16.7,2.213,11.69
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4.6e-06,7e-06,7030000000.0,0.0185,-16.41,2.153,12.21
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4.6e-06,9e-06,6630000000.0,0.0187,-15.96,2.115,12.39
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4.6e-06,1e-05,6600000000.0,0.0188,-15.77,2.119,12.14
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4.6e-06,1.1e-05,6450000000.0,0.0189,-15.62,2.132,11.75
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4.6e-06,1.2e-05,6480000000.0,0.019,-15.49,2.152,11.25
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4.6e-06,1.3e-05,6400000000.0,0.019,-15.4,2.179,10.68
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4.6e-06,1.4e-05,6400000000.0,0.0191,-15.32,2.21,10.08
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4e-06,8e-06,7340000000.0,0.0168,-10.14,2.227,12.36
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4e-06,5e-06,7640000000.0,0.0164,-11.78,2.34,11.07
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4e-06,6e-06,7490000000.0,0.0166,-11.12,2.267,11.83
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4e-06,7e-06,7340000000.0,0.0167,-10.59,2.236,12.24
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4e-06,9e-06,7320000000.0,0.0169,-9.75,2.234,12.25
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4e-06,1e-05,7380000000.0,0.017,-9.42,2.251,11.94
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4e-06,1.1e-05,7480000000.0,0.017,-9.14,2.276,11.49
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4e-06,1.2e-05,7520000000.0,0.0171,-8.91,2.306,10.94
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4e-06,1.3e-05,7600000000.0,0.0171,-8.72,2.342,10.34
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,4e-06,1.4e-05,7650000000.0,0.0171,-8.57,2.382,9.7
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.2e-06,8e-06,6770000000.0,0.0204,-10.86,2.348,11.84
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.2e-06,5e-06,8010000000.0,0.0195,-10.02,2.701,9.77
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.2e-06,6e-06,7600000000.0,0.02,-10.28,2.505,10.89
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.2e-06,7e-06,7130000000.0,0.0202,-10.56,2.403,11.53
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.2e-06,9e-06,6460000000.0,0.0206,-11.16,2.321,11.87
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.2e-06,1e-05,6220000000.0,0.0207,-11.46,2.312,11.68
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.2e-06,1.1e-05,6060000000.0,0.0208,-11.75,2.315,11.33
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.2e-06,1.2e-05,5890000000.0,0.0208,-12.02,2.327,10.87
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.2e-06,1.3e-05,5800000000.0,0.0209,-12.27,2.346,10.34
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.2e-06,1.4e-05,5690000000.0,0.0209,-12.49,2.372,9.77
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.8e-06,8e-06,6940000000.0,0.0222,-7.53,2.771,11.01
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.8e-06,5e-06,8430000000.0,0.021,-6.75,3.344,8.49
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.8e-06,6e-06,7950000000.0,0.0216,-7.04,3.026,9.83
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.8e-06,7e-06,7440000000.0,0.0219,-7.29,2.861,10.62
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.8e-06,9e-06,6560000000.0,0.0223,-7.76,2.722,11.11
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.8e-06,1e-05,6190000000.0,0.0225,-7.98,2.697,10.97
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.8e-06,1.1e-05,5900000000.0,0.0226,-8.19,2.688,10.66
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.8e-06,1.2e-05,5710000000.0,0.0227,-8.37,2.692,10.24
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.8e-06,1.3e-05,5480000000.0,0.0228,-8.53,2.705,9.73
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,5.8e-06,1.4e-05,5380000000.0,0.0228,-8.67,2.725,9.18
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,6.4e-06,8e-06,7290000000.0,0.0238,-5.77,3.302,10.14
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,6.4e-06,5e-06,8930000000.0,0.0223,-5.03,4.167,7.13
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,6.4e-06,6e-06,8380000000.0,0.0231,-5.33,3.692,8.71
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,6.4e-06,7e-06,7800000000.0,0.0235,-5.57,3.441,9.65
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,6.4e-06,9e-06,6750000000.0,0.0241,-5.95,3.224,10.3
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,6.4e-06,1e-05,6340000000.0,0.0243,-6.12,3.18,10.21
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,6.4e-06,1.1e-05,5990000000.0,0.0244,-6.27,3.158,9.94
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,6.4e-06,1.2e-05,5640000000.0,0.0245,-6.41,3.152,9.55
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,6.4e-06,1.3e-05,5470000000.0,0.0246,-6.52,3.157,9.06
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,6.4e-06,1.4e-05,5160000000.0,0.0247,-6.62,3.171,8.53
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7e-06,8e-06,7620000000.0,0.0255,-4.71,3.887,9.29
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7e-06,5e-06,9500000000.0,0.0235,-3.99,5.092,5.78
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7e-06,6e-06,8910000000.0,0.0245,-4.29,4.442,7.58
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7e-06,7e-06,8260000000.0,0.0251,-4.52,4.086,8.69
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7e-06,9e-06,7060000000.0,0.0258,-4.87,3.771,9.52
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7e-06,1e-05,6580000000.0,0.026,-5.01,3.704,9.49
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7e-06,1.1e-05,6120000000.0,0.0262,-5.14,3.666,9.25
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7e-06,1.2e-05,5800000000.0,0.0263,-5.24,3.648,8.88
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7e-06,1.3e-05,5440000000.0,0.0264,-5.33,3.644,8.42
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7e-06,1.4e-05,5170000000.0,0.0265,-5.41,3.651,7.9
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7.6e-06,8e-06,8060000000.0,0.0271,-4.01,4.494,8.47
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7.6e-06,5e-06,10100000000.0,0.0246,-3.32,6.057,4.48
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7.6e-06,6e-06,9400000000.0,0.0258,-3.6,5.239,6.46
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7.6e-06,7e-06,8710000000.0,0.0266,-3.83,4.769,7.74
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7.6e-06,9e-06,7450000000.0,0.0274,-4.16,4.334,8.78
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7.6e-06,1e-05,6850000000.0,0.0277,-4.29,4.238,8.8
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7.6e-06,1.1e-05,6390000000.0,0.0279,-4.4,4.181,8.61
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7.6e-06,1.2e-05,5940000000.0,0.0281,-4.49,4.15,8.27
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7.6e-06,1.3e-05,5550000000.0,0.0282,-4.57,4.136,7.83
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,7.6e-06,1.4e-05,5300000000.0,0.0283,-4.63,4.135,7.33
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.2e-06,8e-06,8470000000.0,0.0286,-3.52,5.11,7.67
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.2e-06,5e-06,10700000000.0,0.0256,-2.85,7.014,3.28
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.2e-06,6e-06,9960000000.0,0.027,-3.12,6.052,5.39
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.2e-06,7e-06,9210000000.0,0.028,-3.34,5.462,6.82
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.2e-06,9e-06,7770000000.0,0.0291,-3.66,4.897,8.07
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.2e-06,1e-05,7160000000.0,0.0294,-3.79,4.768,8.16
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.2e-06,1.1e-05,6650000000.0,0.0296,-3.89,4.689,8.01
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.2e-06,1.2e-05,6140000000.0,0.0298,-3.97,4.641,7.7
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.2e-06,1.3e-05,5760000000.0,0.03,-4.04,4.616,7.28
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.2e-06,1.4e-05,5370000000.0,0.0301,-4.1,4.607,6.8
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.8e-06,8e-06,8890000000.0,0.0301,-3.15,5.724,6.89
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.8e-06,5e-06,11300000000.0,0.0265,-2.52,7.934,2.16
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.8e-06,6e-06,10500000000.0,0.0282,-2.76,6.856,4.36
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.8e-06,7e-06,9670000000.0,0.0293,-2.97,6.16,5.91
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.8e-06,9e-06,8160000000.0,0.0306,-3.3,5.455,7.39
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.8e-06,1e-05,7530000000.0,0.031,-3.42,5.287,7.54
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.8e-06,1.1e-05,6910000000.0,0.0313,-3.51,5.181,7.44
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.8e-06,1.2e-05,6390000000.0,0.0316,-3.59,5.116,7.17
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.8e-06,1.3e-05,5970000000.0,0.0318,-3.66,5.078,6.78
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,8.8e-06,1.4e-05,5500000000.0,0.0319,-3.71,5.059,6.32
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,9.4e-06,8e-06,9300000000.0,0.0315,-2.87,6.331,6.13
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,9.4e-06,5e-06,12000000000.0,0.0273,-2.28,8.8,1.15
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,9.4e-06,6e-06,11100000000.0,0.0292,-2.49,7.635,3.4
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,9.4e-06,7e-06,10100000000.0,0.0305,-2.69,6.847,5.04
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,9.4e-06,9e-06,8530000000.0,0.0322,-3.01,6.003,6.73
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,9.4e-06,1e-05,7830000000.0,0.0326,-3.13,5.792,6.95
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,9.4e-06,1.1e-05,7170000000.0,0.033,-3.23,5.658,6.91
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,9.4e-06,1.2e-05,6650000000.0,0.0333,-3.31,5.572,6.67
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,9.4e-06,1.3e-05,6140000000.0,0.0335,-3.37,5.52,6.31
1.3e-13,1.6e-13,2e-10,8e-10,6e-11,9.4e-06,1.4e-05,5680000000.0,0.0337,-3.42,5.49,5.87
1.3e-13,1.6e-13,2e-10,8e-10,7e-11,4.6e-06,8e-06,7040000000.0,0.0186,-13.62,2.197,11.89
1.3e-13,1.6e-13,2e-10,8e-10,7e-11,4.6e-06,5e-06,7960000000.0,0.018,-14.83,2.399,10.29
1.3e-13,1.6e-13,2e-10,8e-10,7e-11,4.6e-06,6e-06,7620000000.0,0.0183,-14.22,2.282,11.18
1.3e-13,1.6e-13,2e-10,8e-10,7e-11,4.6e-06,7e-06,7250000000.0,0.0185,-13.87,2.224,11.69
1.3e-13,1.6e-13,2e-10,8e-10,7e-11,4.6e-06,9e-06,6790000000.0,0.0187,-13.41,2.19,11.85
1.3e-13,1.6e-13,2e-10,8e-10,7e-11,4.6e-06,1e-05,6700000000.0,0.0188,-13.24,2.197,11.59
1.3e-13,1.6e-13,2e-10,8e-10,7e-11,4.6e-06,1.1e-05,6540000000.0,0.0189,-13.12,2.214,11.19
1.3e-13,1.6e-13,2e-10,8e-10,7e-11,4.6e-06,1.2e-05,6490000000.0,0.019,-13.02,2.238,10.69
1.3e-13,1.6e-13,2e-10,8e-10,7e-11,4.6e-06,1.3e-05,6410000000.0,0.019,-12.95,2.269,10.11
